Ref,Val,Package,PosX,PosY,Rot,Side
"C0","10n","C_0402_1005Metric",13.750000,-15.070000,-90.000000,bottom
"C1","100n","C_0402_1005Metric",118.100000,-6.725000,0.000000,bottom
"C2","100n","C_0402_1005Metric",129.050000,-9.775000,0.000000,bottom
"C3","100n","C_0402_1005Metric",111.870000,-10.925000,180.000000,bottom
"C4","100n","C_0402_1005Metric",123.670000,-16.425000,0.000000,bottom
"C5","100n","C_0402_1005Metric",114.750000,-21.520000,-90.000000,bottom
"C6","100n","C_0402_1005Metric",121.100000,-6.555000,90.000000,bottom
"C7","100n","C_0402_1005Metric",129.050000,-10.725000,0.000000,bottom
"C8","100n","C_0402_1005Metric",111.870000,-9.975000,180.000000,bottom
"C9","2u2","C_0402_1005Metric",125.080000,-8.805000,0.000000,bottom
"C10","2u2","C_0402_1005Metric",124.470000,-7.875000,0.000000,bottom
"C11","2u2","C_0402_1005Metric",123.170000,-6.955000,0.000000,bottom
"C12","10u","C_0402_1005Metric",96.650000,-4.175000,180.000000,bottom
"C13","10u","C_0402_1005Metric",97.150000,-7.675000,-90.000000,bottom
"C14","2u2","C_0402_1005Metric",132.050000,-13.875000,0.000000,bottom
"C15","100n","C_0402_1005Metric",132.050000,-14.825000,0.000000,bottom
"C16","10n","C_0402_1005Metric",13.880000,-8.820000,-90.000000,bottom
"C17","20p","C_0402_1005Metric",105.500000,-16.275000,90.000000,bottom
"C18","20p","C_0402_1005Metric",107.700000,-13.675000,180.000000,bottom
"C19","10n","C_0402_1005Metric",158.125000,-7.505000,-90.000000,bottom
"C20","10n","C_0402_1005Metric",157.925000,-15.880000,-90.000000,bottom
"D2","LED","LED_1206_3216Metric",131.800000,-10.375000,90.000000,bottom
"J1","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_GCT_USB4110",86.250000,-1.250000,0.000000,bottom
"J2","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",101.780000,-17.225000,90.000000,bottom
"JP1","BOOT_SEL","PinHeader_1x02_P2.00mm_Vertical",136.425000,-45.525000,90.000000,bottom
"R0","1K","R_0402_1005Metric",18.800000,-15.175000,-90.000000,bottom
"R1","1R","R_0402_1005Metric",128.650000,-4.165000,90.000000,bottom
"R2","200R","R_0402_1005Metric",128.650000,-6.025000,90.000000,bottom
"R3","27R","R_0603_1608Metric",125.800000,-11.525000,180.000000,bottom
"R4","27R","R_0603_1608Metric",125.800000,-10.025000,180.000000,bottom
"R5","1K","R_0402_1005Metric",18.830000,-8.830000,-90.000000,bottom
"R6","1K","R_0402_1005Metric",154.400000,-7.510000,-90.000000,bottom
"R7","1K","R_0402_1005Metric",154.275000,-15.875000,-90.000000,bottom
"R8","1K","R_0402_1005Metric",17.550000,-15.165000,90.000000,bottom
"R9","1K","R_0402_1005Metric",131.200000,-25.625000,90.000000,bottom
"R10","1K","R_0402_1005Metric",17.580000,-8.835000,-90.000000,bottom
"R11","1K","R_0402_1005Metric",155.525000,-7.520000,90.000000,bottom
"R12","1K","R_0402_1005Metric",109.100000,-13.225000,-90.000000,bottom
"R13","470R","R_0402_1005Metric",125.640000,-3.825000,0.000000,bottom
"R14","5K1","R_0402_1005Metric",85.000000,-6.965000,-90.000000,bottom
"R15","5K1","R_0402_1005Metric",88.000000,-6.965000,-90.000000,bottom
"R16","1K","R_0402_1005Metric",155.325000,-15.875000,-90.000000,bottom
"U1","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",118.500000,-11.725000,90.000000,bottom
"U2","AMS1117-3.3","SOT-223-3_TabPin2",102.050000,-6.525000,0.000000,bottom
"U3","W25Q128JVSIQ","SOIC-8_5.23x5.23mm_P1.27mm",129.700000,-19.975000,90.000000,bottom
"Y1","X322512MSB4SI","Crystal_SMD_3225-4Pin_3.2x2.5mm",107.700000,-16.275000,90.000000,bottom
